2018-09-11 15:01:13.284	    7f6790b8e780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3345	Loading wallet...
2018-09-11 15:01:13.549	    7f6790b8e780	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:4273	Loaded wallet keys file, with public address: 49XvpgYDZqUcaVCM8YCtnL33FetvszAR7jc79Gzh2X7s2iVSiSWxMwadWRoe12bLBNdcPfaQeKvStGRGsdHfdb2pGhkdXGP
2018-09-11 15:01:13.801	    7f6790b8e780	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:3000
2018-09-11 15:01:13.801	    7f6790b8e780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3398	Starting wallet RPC server
2018-09-11 15:01:14.302	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3408	Stopped wallet RPC server
2018-09-11 15:01:14.302	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3411	Saving wallet...
2018-09-11 15:01:14.314	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3413	Successfully saved
2018-09-11 15:01:25.534	    7f48718c2780	INFO 	logging	contrib/epee/src/mlog.cpp:237	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-09-11 15:01:25.535	    7f48718c2780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3345	Loading wallet...
2018-09-11 15:01:25.778	    7f48718c2780	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:4273	Loaded wallet keys file, with public address: 49XvpgYDZqUcaVCM8YCtnL33FetvszAR7jc79Gzh2X7s2iVSiSWxMwadWRoe12bLBNdcPfaQeKvStGRGsdHfdb2pGhkdXGP
2018-09-11 15:01:26.038	    7f48718c2780	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:3000
2018-09-11 15:01:26.038	    7f48718c2780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3398	Starting wallet RPC server
2018-09-11 15:01:26.538	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3408	Stopped wallet RPC server
2018-09-11 15:01:26.538	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3411	Saving wallet...
2018-09-11 15:01:26.555	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3413	Successfully saved
2018-09-11 15:03:19.690	    7f0f27346780	INFO 	logging	contrib/epee/src/mlog.cpp:237	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-09-11 15:03:19.690	    7f0f27346780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3345	Loading wallet...
